Category,Price,Rating,Stock,Discount,Final_Price,Price_Category,Rating_Label
Home & Garden,4589.0,3.05,Out of Stock,47.0,2432.17,Mid-Range,Good
Electronics,2260.0,3.03,In Stock,37.0,1423.8,Budget,Good
Home & Garden,1759.0,4.46,In Stock,37.0,1108.17,Budget,Excellent
Home & Garden,7190.0,1.92,In Stock,24.0,5464.4,Premium,Poor
Home & Garden,8675.0,2.78,Out of Stock,24.0,6593.0,Luxury,Average
Home & Garden,5412.0,3.05,Out of Stock,24.0,4113.12,Premium,Good
Electronics,6304.0,3.03,In Stock,31.0,4349.76,Premium,Good
Home & Garden,9870.0,2.8,Out of Stock,37.0,6218.1,Luxury,Average
Home & Garden,1134.0,2.89,In Stock,15.0,963.9,Budget,Average
Clothing,9795.0,3.25,In Stock,17.0,8129.85,Luxury,Good
Clothing,3445.0,3.25,In Stock,3.0,3341.65,Mid-Range,Good
Home & Garden,8421.0,1.34,In Stock,2.0,8252.58,Luxury,Poor
Home & Garden,3236.0,4.95,Out of Stock,2.0,3171.28,Mid-Range,Excellent
Home & Garden,1624.0,3.05,Out of Stock,34.0,1071.84,Budget,Good
Home & Garden,806.0,4.17,In Stock,8.0,741.52,Budget,Excellent
Home & Garden,9888.0,3.05,In Stock,29.0,7020.48,Luxury,Good
Home & Garden,8773.0,1.87,Out of Stock,17.0,7281.59,Luxury,Poor
Sports,3977.0,3.24,Out of Stock,32.0,2704.36,Mid-Range,Good
Sports,2251.0,3.24,In Stock,25.0,1688.25,Budget,Good
Home & Garden,7842.0,3.05,In Stock,30.0,5489.4,Luxury,Good
Electronics,5006.0,3.84,Out of Stock,26.0,3704.44,Premium,Good
Home & Garden,3182.0,3.05,In Stock,13.0,2768.34,Mid-Range,Good
Home & Garden,1136.0,3.05,In Stock,19.0,920.16,Budget,Good
Home & Garden,1066.0,3.05,Out of Stock,10.0,959.4,Budget,Good
Clothing,1029.0,4.46,In Stock,38.0,637.98,Budget,Excellent
Home & Garden,1788.0,3.05,Out of Stock,7.0,1662.84,Budget,Good
Home & Garden,6249.0,3.05,In Stock,16.0,5249.16,Premium,Good
Sports,8026.0,3.24,In Stock,46.0,4334.04,Luxury,Good
Electronics,9516.0,1.66,In Stock,5.0,9040.2,Luxury,Poor
Home & Garden,859.0,1.23,In Stock,49.0,438.09,Budget,Poor
Home & Garden,6792.0,2.49,In Stock,26.0,5026.08,Premium,Average
Home & Garden,8631.0,3.31,In Stock,10.0,7767.9,Luxury,Good
Home & Garden,6491.0,4.65,In Stock,16.0,5452.44,Premium,Excellent
Home & Garden,4962.0,4.04,In Stock,33.0,3324.54,Mid-Range,Excellent
Sports,642.0,1.6,Out of Stock,28.0,462.24,Budget,Poor
Clothing,4222.0,4.21,In Stock,20.0,3377.6,Mid-Range,Excellent
Electronics,1962.0,4.98,In Stock,6.0,1844.28,Budget,Excellent
Home & Garden,2119.0,3.66,In Stock,40.0,1271.4,Budget,Good
Home & Garden,1441.0,3.41,In Stock,43.0,821.37,Budget,Good
Home & Garden,6884.0,3.05,In Stock,49.0,3510.84,Premium,Good
Sports,2544.0,3.24,In Stock,26.0,1882.56,Mid-Range,Good
Clothing,6114.0,3.25,In Stock,44.0,3423.84,Premium,Good
Home & Garden,8117.0,3.05,In Stock,45.0,4464.35,Luxury,Good
Home & Garden,4962.0,2.58,Out of Stock,36.0,3175.68,Mid-Range,Average
Electronics,4077.0,3.03,Out of Stock,28.0,2935.44,Mid-Range,Good
Sports,2877.0,3.13,Out of Stock,49.0,1467.27,Mid-Range,Good
Clothing,8723.0,3.75,In Stock,41.0,5146.57,Luxury,Good
Home & Garden,8651.0,4.28,In Stock,2.0,8477.98,Luxury,Excellent
Home & Garden,3282.0,3.05,Out of Stock,40.0,1969.2,Mid-Range,Good
Sports,9493.0,2.78,Out of Stock,34.0,6265.38,Luxury,Average
Home & Garden,6578.0,3.13,In Stock,28.0,4736.16,Premium,Good
Home & Garden,7187.0,3.05,In Stock,12.0,6324.56,Premium,Good
Home & Garden,1435.0,3.05,In Stock,23.0,1104.95,Budget,Good
Home & Garden,1561.0,2.86,In Stock,6.0,1467.34,Budget,Average
Home & Garden,2778.0,4.65,In Stock,43.0,1583.46,Mid-Range,Excellent
Electronics,4752.0,4.59,In Stock,1.0,4704.48,Mid-Range,Excellent
Home & Garden,4502.0,3.05,In Stock,40.0,2701.2,Mid-Range,Good
Home & Garden,4962.0,3.05,In Stock,1.0,4912.38,Mid-Range,Good
Home & Garden,578.0,3.69,Out of Stock,36.0,369.92,Budget,Good
Home & Garden,3137.0,2.53,Out of Stock,49.0,1599.87,Mid-Range,Average
Home & Garden,7417.0,3.52,In Stock,43.0,4227.69,Premium,Good
Home & Garden,8024.0,3.05,In Stock,2.0,7863.52,Luxury,Good
Home & Garden,5250.0,3.05,In Stock,6.0,4935.0,Premium,Good
Home & Garden,6554.0,3.05,In Stock,29.0,4653.34,Premium,Good
Home & Garden,7267.0,3.05,In Stock,24.0,5522.92,Premium,Good
Home & Garden,6122.0,2.57,In Stock,15.0,5203.7,Premium,Average
Home & Garden,1362.0,3.91,Out of Stock,24.0,1035.12,Budget,Good
Home & Garden,6562.0,3.62,Out of Stock,3.0,6365.14,Premium,Good
Home & Garden,6879.0,3.05,In Stock,8.0,6328.68,Premium,Good
Sports,6117.0,4.86,In Stock,4.0,5872.32,Premium,Excellent
Home & Garden,3182.0,4.87,In Stock,49.0,1622.82,Mid-Range,Excellent
Home & Garden,5427.0,3.05,Out of Stock,15.0,4612.95,Premium,Good
Home & Garden,251.0,3.05,In Stock,21.0,198.29,Budget,Good
Home & Garden,6250.0,3.05,In Stock,33.0,4187.5,Premium,Good
Sports,4580.0,1.53,In Stock,39.0,2793.8,Mid-Range,Poor
Home & Garden,9161.0,2.6,In Stock,49.0,4672.11,Luxury,Average
Home & Garden,5821.0,1.17,Out of Stock,17.0,4831.43,Premium,Poor
Home & Garden,9990.0,3.05,Out of Stock,19.0,8091.9,Luxury,Good
Home & Garden,4347.0,2.57,In Stock,3.0,4216.59,Mid-Range,Average
Sports,2697.0,1.92,In Stock,30.0,1887.9,Mid-Range,Poor
Home & Garden,9160.0,4.39,Out of Stock,29.0,6503.6,Luxury,Excellent
Home & Garden,2072.0,3.05,In Stock,10.0,1864.8,Budget,Good
Home & Garden,2122.0,4.86,Out of Stock,29.0,1506.62,Budget,Excellent
Home & Garden,8731.0,3.05,Out of Stock,38.0,5413.22,Luxury,Good
Sports,5031.0,3.24,In Stock,4.0,4829.76,Premium,Good
Electronics,6557.0,3.03,Out of Stock,32.0,4458.76,Premium,Good
Home & Garden,3981.0,3.05,In Stock,41.0,2348.79,Mid-Range,Good
Home & Garden,9459.0,3.49,Out of Stock,42.0,5486.22,Luxury,Good
Home & Garden,3763.0,3.05,In Stock,13.0,3273.81,Mid-Range,Good
Electronics,2466.0,3.03,In Stock,12.0,2170.08,Budget,Good
Electronics,6348.0,3.03,In Stock,29.0,4507.08,Premium,Good
Home & Garden,6345.0,3.05,Out of Stock,4.0,6091.2,Premium,Good
Home & Garden,4781.0,3.24,Out of Stock,3.0,4637.57,Mid-Range,Good
Clothing,8345.0,3.25,Out of Stock,41.0,4923.55,Luxury,Good
Electronics,5459.0,3.03,Out of Stock,33.0,3657.53,Premium,Good
Electronics,8521.0,1.08,Out of Stock,40.0,5112.6,Luxury,Poor
Home & Garden,2649.0,1.99,In Stock,25.0,1986.75,Mid-Range,Poor
Home & Garden,3101.0,1.92,In Stock,6.0,2914.94,Mid-Range,Poor
Sports,357.0,3.24,Out of Stock,32.0,242.76,Budget,Good
Clothing,4299.0,2.94,In Stock,29.0,3052.29,Mid-Range,Average
Home & Garden,9799.0,3.05,Out of Stock,34.0,6467.34,Luxury,Good
Electronics,8832.0,3.03,In Stock,17.0,7330.56,Luxury,Good
Electronics,8251.0,4.05,In Stock,28.0,5940.72,Luxury,Excellent
Electronics,1465.0,1.84,In Stock,26.0,1084.1,Budget,Poor
Electronics,9825.0,3.03,Out of Stock,22.0,7663.5,Luxury,Good
Home & Garden,6442.0,3.05,In Stock,34.0,4251.72,Premium,Good
Clothing,7624.0,3.25,In Stock,5.0,7242.8,Luxury,Good
Clothing,4061.0,2.88,In Stock,28.0,2923.92,Mid-Range,Average
Home & Garden,190.0,3.05,In Stock,0.0,190.0,Budget,Good
Home & Garden,4643.0,3.19,In Stock,4.0,4457.28,Mid-Range,Good
Home & Garden,5219.0,3.05,Out of Stock,49.0,2661.69,Premium,Good
Home & Garden,1197.0,1.3,Out of Stock,24.0,909.72,Budget,Poor
Clothing,8205.0,4.76,Out of Stock,35.0,5333.25,Luxury,Excellent
Home & Garden,3125.0,3.3,In Stock,24.0,2375.0,Mid-Range,Good
Sports,7239.0,3.61,In Stock,48.0,3764.28,Premium,Good
Home & Garden,262.0,3.05,In Stock,36.0,167.68,Budget,Good
Home & Garden,7826.0,3.58,In Stock,6.0,7356.44,Luxury,Good
Home & Garden,8532.0,4.63,In Stock,42.0,4948.56,Luxury,Excellent
Sports,4625.0,1.72,In Stock,36.0,2960.0,Mid-Range,Poor
Home & Garden,4668.0,1.76,In Stock,23.0,3594.36,Mid-Range,Poor
Electronics,5268.0,3.03,In Stock,48.0,2739.36,Premium,Good
Home & Garden,249.0,2.08,In Stock,15.0,211.65,Budget,Average
Home & Garden,5908.0,3.05,In Stock,42.0,3426.64,Premium,Good
Clothing,9697.0,3.25,In Stock,26.0,7175.78,Luxury,Good
Clothing,8458.0,3.25,In Stock,18.0,6935.56,Luxury,Good
Home & Garden,4741.0,3.05,In Stock,27.0,3460.93,Mid-Range,Good
Electronics,6943.0,3.03,In Stock,42.0,4026.94,Premium,Good
Home & Garden,4962.0,3.05,In Stock,11.0,4416.18,Mid-Range,Good
Home & Garden,758.0,1.25,In Stock,28.0,545.76,Budget,Poor
Home & Garden,3169.0,2.62,In Stock,25.0,2376.75,Mid-Range,Average
Home & Garden,7953.0,1.57,In Stock,39.0,4851.33,Luxury,Poor
Home & Garden,8793.0,3.01,Out of Stock,6.0,8265.42,Luxury,Good
Sports,9114.0,3.24,In Stock,27.0,6653.22,Luxury,Good
Home & Garden,8893.0,2.52,In Stock,24.0,6758.68,Luxury,Average
Electronics,8713.0,2.38,In Stock,30.0,6099.1,Luxury,Average
Electronics,1269.0,3.03,In Stock,38.0,786.78,Budget,Good
Home & Garden,8069.0,3.05,In Stock,31.0,5567.61,Luxury,Good
Sports,6751.0,2.34,In Stock,2.0,6615.98,Premium,Average
Home & Garden,4970.0,2.37,In Stock,5.0,4721.5,Mid-Range,Average
Home & Garden,2323.0,3.05,In Stock,24.0,1765.48,Budget,Good
Home & Garden,4962.0,3.05,In Stock,0.0,4962.0,Mid-Range,Good
Electronics,5515.0,4.71,Out of Stock,26.0,4081.1,Premium,Excellent
Home & Garden,8846.0,1.36,In Stock,4.0,8492.16,Luxury,Poor
Home & Garden,2584.0,3.05,Out of Stock,1.0,2558.16,Mid-Range,Good
Home & Garden,7911.0,2.77,Out of Stock,37.0,4983.93,Luxury,Average
Sports,6799.0,3.24,Out of Stock,29.0,4827.29,Premium,Good
Home & Garden,4620.0,4.34,In Stock,10.0,4158.0,Mid-Range,Excellent
Home & Garden,9424.0,1.08,Out of Stock,24.0,7162.24,Luxury,Poor
Home & Garden,8409.0,1.7,Out of Stock,29.0,5970.39,Luxury,Poor
Home & Garden,9063.0,3.62,Out of Stock,24.0,6887.88,Luxury,Good
Home & Garden,8405.0,1.22,In Stock,48.0,4370.6,Luxury,Poor
Home & Garden,8070.0,4.22,In Stock,20.0,6456.0,Luxury,Excellent
Sports,7564.0,2.58,In Stock,35.0,4916.6,Luxury,Average
Sports,8555.0,2.38,Out of Stock,22.0,6672.9,Luxury,Average
Home & Garden,1870.0,3.05,In Stock,32.0,1271.6,Budget,Good
Home & Garden,6864.0,2.89,In Stock,10.0,6177.6,Premium,Average
Home & Garden,439.0,2.36,In Stock,0.0,439.0,Budget,Average
Electronics,1425.0,1.8,In Stock,15.0,1211.25,Budget,Poor
Home & Garden,1612.0,3.03,In Stock,16.0,1354.08,Budget,Good
Home & Garden,1894.0,2.33,Out of Stock,24.0,1439.44,Budget,Average
Home & Garden,8975.0,4.47,Out of Stock,32.0,6103.0,Luxury,Excellent
Home & Garden,807.0,3.05,In Stock,13.0,702.09,Budget,Good
Home & Garden,2297.0,3.05,Out of Stock,21.0,1814.63,Budget,Good
Home & Garden,7800.0,3.05,In Stock,5.0,7410.0,Luxury,Good
Clothing,1493.0,3.38,Out of Stock,45.0,821.15,Budget,Good
Home & Garden,2602.0,3.05,In Stock,0.0,2602.0,Mid-Range,Good
Sports,5381.0,4.77,Out of Stock,10.0,4842.9,Premium,Excellent
Clothing,5429.0,1.75,In Stock,6.0,5103.26,Premium,Poor
Home & Garden,734.0,3.05,In Stock,10.0,660.6,Budget,Good
Clothing,3365.0,4.18,In Stock,29.0,2389.15,Mid-Range,Excellent
Sports,9318.0,3.32,In Stock,18.0,7640.76,Luxury,Good
Home & Garden,5220.0,3.05,In Stock,0.0,5220.0,Premium,Good
Home & Garden,381.0,3.09,In Stock,17.0,316.23,Budget,Good
Home & Garden,8707.0,3.05,Out of Stock,39.0,5311.27,Luxury,Good
Home & Garden,3604.0,3.05,In Stock,17.0,2991.32,Mid-Range,Good
Home & Garden,5078.0,4.39,Out of Stock,6.0,4773.32,Premium,Excellent
Home & Garden,8070.0,3.05,In Stock,28.0,5810.4,Luxury,Good
Home & Garden,721.0,3.05,In Stock,24.0,547.96,Budget,Good
Home & Garden,6921.0,3.05,Out of Stock,37.0,4360.23,Premium,Good
Sports,2622.0,3.24,In Stock,22.0,2045.16,Mid-Range,Good
Home & Garden,7231.0,3.05,In Stock,6.0,6797.14,Premium,Good
Home & Garden,340.0,3.05,Out of Stock,27.0,248.2,Budget,Good
Home & Garden,9212.0,3.05,In Stock,0.0,9212.0,Luxury,Good
Home & Garden,6472.0,3.05,In Stock,27.0,4724.56,Premium,Good
Home & Garden,3978.0,3.05,Out of Stock,19.0,3222.18,Mid-Range,Good
Home & Garden,5746.0,3.05,Out of Stock,2.0,5631.08,Premium,Good
Home & Garden,3956.0,3.46,In Stock,23.0,3046.12,Mid-Range,Good
Sports,8757.0,3.24,In Stock,49.0,4466.07,Luxury,Good
Home & Garden,2820.0,3.09,In Stock,21.0,2227.8,Mid-Range,Good
Sports,2001.0,3.24,Out of Stock,23.0,1540.77,Budget,Good
Home & Garden,412.0,3.76,Out of Stock,21.0,325.48,Budget,Good
Home & Garden,6675.0,3.05,In Stock,43.0,3804.75,Premium,Good
Electronics,4317.0,3.03,Out of Stock,13.0,3755.79,Mid-Range,Good
Home & Garden,8507.0,4.58,Out of Stock,41.0,5019.13,Luxury,Excellent
Home & Garden,6784.0,2.09,Out of Stock,13.0,5902.08,Premium,Average
Home & Garden,7635.0,3.05,Out of Stock,5.0,7253.25,Luxury,Good
Home & Garden,9529.0,1.46,In Stock,31.0,6575.01,Luxury,Poor
Home & Garden,1595.0,1.31,In Stock,37.0,1004.85,Budget,Poor
Home & Garden,5669.0,3.05,Out of Stock,38.0,3514.78,Premium,Good
Home & Garden,5861.0,1.47,Out of Stock,40.0,3516.6,Premium,Poor
Home & Garden,2349.0,3.05,Out of Stock,48.0,1221.48,Budget,Good
Home & Garden,5766.0,3.05,Out of Stock,3.0,5593.02,Premium,Good
Home & Garden,7362.0,3.05,Out of Stock,33.0,4932.54,Premium,Good
Home & Garden,3256.0,2.77,In Stock,45.0,1790.8,Mid-Range,Average
Home & Garden,9284.0,3.05,Out of Stock,45.0,5106.2,Luxury,Good
Home & Garden,8597.0,3.52,In Stock,23.0,6619.69,Luxury,Good
Home & Garden,4405.0,1.1,In Stock,33.0,2951.35,Mid-Range,Poor
Home & Garden,2117.0,3.05,In Stock,45.0,1164.35,Budget,Good
Electronics,8642.0,3.03,In Stock,43.0,4925.94,Luxury,Good
Home & Garden,4962.0,3.05,Out of Stock,3.0,4813.14,Mid-Range,Good
Electronics,6022.0,3.03,In Stock,48.0,3131.44,Premium,Good
Home & Garden,8132.0,2.77,In Stock,15.0,6912.2,Luxury,Average
Home & Garden,3170.0,2.2,In Stock,18.0,2599.4,Mid-Range,Average
Home & Garden,2608.0,1.87,In Stock,8.0,2399.36,Mid-Range,Poor
Home & Garden,9544.0,1.51,In Stock,47.0,5058.32,Luxury,Poor
Home & Garden,6220.0,1.41,In Stock,32.0,4229.6,Premium,Poor
Home & Garden,1959.0,4.96,Out of Stock,45.0,1077.45,Budget,Excellent
Electronics,1403.0,3.03,In Stock,26.0,1038.22,Budget,Good
Home & Garden,3713.0,3.05,Out of Stock,32.0,2524.84,Mid-Range,Good
Home & Garden,6148.0,3.05,In Stock,3.0,5963.56,Premium,Good
Home & Garden,3862.0,3.81,In Stock,22.0,3012.36,Mid-Range,Good
Sports,9438.0,3.69,Out of Stock,36.0,6040.32,Luxury,Good
Clothing,395.0,3.25,In Stock,24.0,300.2,Budget,Good
Home & Garden,6080.0,4.13,Out of Stock,18.0,4985.6,Premium,Excellent
Home & Garden,5296.0,2.74,Out of Stock,34.0,3495.36,Premium,Average
Home & Garden,5348.0,1.59,Out of Stock,31.0,3690.12,Premium,Poor
Home & Garden,6248.0,2.89,In Stock,39.0,3811.28,Premium,Average
Home & Garden,8369.0,1.77,In Stock,44.0,4686.64,Luxury,Poor
Home & Garden,3155.0,2.76,In Stock,6.0,2965.7,Mid-Range,Average
Home & Garden,2539.0,3.05,In Stock,9.0,2310.49,Mid-Range,Good
Home & Garden,3112.0,3.05,Out of Stock,16.0,2614.08,Mid-Range,Good
Sports,2489.0,4.67,In Stock,42.0,1443.62,Budget,Excellent
Home & Garden,5533.0,3.05,In Stock,34.0,3651.78,Premium,Good
Home & Garden,8603.0,1.9,Out of Stock,35.0,5591.95,Luxury,Poor
Home & Garden,6989.0,3.05,Out of Stock,10.0,6290.1,Premium,Good
Sports,3064.0,1.78,Out of Stock,22.0,2389.92,Mid-Range,Poor
Home & Garden,176.0,3.05,Out of Stock,33.0,117.92,Budget,Good
Home & Garden,8159.0,3.1,Out of Stock,31.0,5629.71,Luxury,Good
Electronics,5080.0,2.12,Out of Stock,1.0,5029.2,Premium,Average
Home & Garden,5642.0,3.05,In Stock,28.0,4062.24,Premium,Good
Home & Garden,7027.0,1.82,In Stock,24.0,5340.52,Premium,Poor
Home & Garden,8407.0,1.13,Out of Stock,38.0,5212.34,Luxury,Poor
Home & Garden,878.0,3.05,In Stock,41.0,518.02,Budget,Good
Home & Garden,2546.0,1.16,Out of Stock,34.0,1680.36,Mid-Range,Poor
Home & Garden,9537.0,3.05,Out of Stock,25.0,7152.75,Luxury,Good
Home & Garden,9600.0,3.32,In Stock,32.0,6528.0,Luxury,Good
Home & Garden,7194.0,3.33,In Stock,38.0,4460.28,Premium,Good
Home & Garden,6968.0,3.74,In Stock,24.0,5295.68,Premium,Good
Home & Garden,6292.0,1.16,Out of Stock,17.0,5222.36,Premium,Poor
Home & Garden,4870.0,3.05,Out of Stock,14.0,4188.2,Mid-Range,Good
Home & Garden,6737.0,3.05,In Stock,38.0,4176.94,Premium,Good
Home & Garden,250.0,1.44,In Stock,30.0,175.0,Budget,Poor
Home & Garden,4962.0,3.43,In Stock,7.0,4614.66,Mid-Range,Good
Home & Garden,312.0,1.54,In Stock,39.0,190.32,Budget,Poor
Sports,8394.0,1.82,Out of Stock,22.0,6547.32,Luxury,Poor
Home & Garden,1421.0,4.23,In Stock,24.0,1079.96,Budget,Excellent
Home & Garden,8693.0,3.19,In Stock,24.0,6606.68,Luxury,Good
Home & Garden,2846.0,3.64,In Stock,6.0,2675.24,Mid-Range,Good
Home & Garden,3671.0,3.05,In Stock,47.0,1945.63,Mid-Range,Good
Home & Garden,766.0,3.46,In Stock,19.0,620.46,Budget,Good
Home & Garden,615.0,3.05,Out of Stock,2.0,602.7,Budget,Good
Home & Garden,4309.0,3.05,Out of Stock,17.0,3576.47,Mid-Range,Good
Home & Garden,2947.0,1.09,Out of Stock,24.0,2239.72,Mid-Range,Poor
Home & Garden,2841.0,2.51,In Stock,40.0,1704.6,Mid-Range,Average
Clothing,3923.0,1.48,In Stock,10.0,3530.7,Mid-Range,Poor
Home & Garden,5658.0,3.96,In Stock,29.0,4017.18,Premium,Good
Home & Garden,6759.0,3.05,Out of Stock,35.0,4393.35,Premium,Good
Home & Garden,685.0,3.05,Out of Stock,24.0,520.6,Budget,Good
Home & Garden,5206.0,3.05,In Stock,35.0,3383.9,Premium,Good
Home & Garden,5814.0,4.16,Out of Stock,12.0,5116.32,Premium,Excellent
Home & Garden,1419.0,2.38,In Stock,1.0,1404.81,Budget,Average
Electronics,6016.0,1.84,In Stock,1.0,5955.84,Premium,Poor
Home & Garden,5961.0,3.05,In Stock,18.0,4888.02,Premium,Good
Home & Garden,9489.0,3.05,In Stock,5.0,9014.55,Luxury,Good
Home & Garden,1558.0,3.05,In Stock,12.0,1371.04,Budget,Good
Home & Garden,3892.0,1.98,In Stock,6.0,3658.48,Mid-Range,Poor
Home & Garden,6904.0,3.05,Out of Stock,36.0,4418.56,Premium,Good
Home & Garden,663.0,3.08,Out of Stock,5.0,629.85,Budget,Good
Electronics,1910.0,4.82,In Stock,26.0,1413.4,Budget,Excellent
Home & Garden,2804.0,1.35,Out of Stock,35.0,1822.6,Mid-Range,Poor
Sports,8625.0,4.03,In Stock,36.0,5520.0,Luxury,Excellent
Home & Garden,8800.0,4.37,Out of Stock,26.0,6512.0,Luxury,Excellent
Home & Garden,3689.0,3.05,Out of Stock,3.0,3578.33,Mid-Range,Good
Electronics,6869.0,3.01,Out of Stock,49.0,3503.19,Premium,Good
Home & Garden,3601.0,3.05,In Stock,22.0,2808.78,Mid-Range,Good
Home & Garden,6657.0,3.05,In Stock,47.0,3528.21,Premium,Good
Home & Garden,4962.0,3.05,Out of Stock,35.0,3225.3,Mid-Range,Good
Sports,5146.0,3.24,In Stock,10.0,4631.4,Premium,Good
Clothing,4242.0,3.99,Out of Stock,47.0,2248.26,Mid-Range,Good
Home & Garden,7098.0,1.3,In Stock,23.0,5465.46,Premium,Poor
Electronics,3348.0,3.03,In Stock,16.0,2812.32,Mid-Range,Good
Home & Garden,4592.0,3.05,Out of Stock,25.0,3444.0,Mid-Range,Good
Electronics,7005.0,3.03,In Stock,22.0,5463.9,Premium,Good
Electronics,5074.0,3.03,Out of Stock,41.0,2993.66,Premium,Good
Electronics,9602.0,3.03,In Stock,31.0,6625.38,Luxury,Good
Home & Garden,3742.0,4.21,In Stock,19.0,3031.02,Mid-Range,Excellent
Sports,454.0,3.24,Out of Stock,32.0,308.72,Budget,Good
Home & Garden,4903.0,4.62,In Stock,39.0,2990.83,Mid-Range,Excellent
Home & Garden,9658.0,3.05,Out of Stock,15.0,8209.3,Luxury,Good
Home & Garden,4198.0,3.05,Out of Stock,29.0,2980.58,Mid-Range,Good
Electronics,6336.0,3.65,In Stock,11.0,5639.04,Premium,Good
Home & Garden,9794.0,4.43,In Stock,39.0,5974.34,Luxury,Excellent
Sports,2201.0,3.24,In Stock,25.0,1650.75,Budget,Good
Home & Garden,5323.0,3.05,Out of Stock,16.0,4471.32,Premium,Good
Electronics,9152.0,4.77,Out of Stock,11.0,8145.28,Luxury,Excellent
Home & Garden,5420.0,3.05,Out of Stock,21.0,4281.8,Premium,Good
Sports,4763.0,3.24,Out of Stock,11.0,4239.07,Mid-Range,Good
Home & Garden,247.0,3.05,In Stock,24.0,187.72,Budget,Good
Home & Garden,2060.0,4.74,Out of Stock,24.0,1565.6,Budget,Excellent
Electronics,3372.0,3.03,In Stock,5.0,3203.4,Mid-Range,Good
Sports,8544.0,3.24,In Stock,29.0,6066.24,Luxury,Good
Home & Garden,4962.0,3.05,In Stock,47.0,2629.86,Mid-Range,Good
Home & Garden,3299.0,3.0,Out of Stock,32.0,2243.32,Mid-Range,Average
Home & Garden,2107.0,3.05,Out of Stock,11.0,1875.23,Budget,Good
Home & Garden,6765.0,3.4,In Stock,35.0,4397.25,Premium,Good
Home & Garden,1853.0,3.05,Out of Stock,11.0,1649.17,Budget,Good
Home & Garden,8773.0,3.89,Out of Stock,24.0,6667.48,Luxury,Good
Home & Garden,6671.0,3.05,In Stock,30.0,4669.7,Premium,Good
